2016-10-13,1048,Mobvista,Mobvista,2246128,505,413,388,21,764
2016-10-28,1021,百度DSP,紫博蓝,1,0,0,0,0,0
2016-10-28,2667,yeahmobi,yeahmobi,427549,110,96,97,6,36
2016-10-28,1266,搜狐汇算,掌握,15,0,0,0,0,0
2016-09-27,1266,搜狐汇算,睿道,681,0,0,0,0,0
2016-09-27,2687,超级课程表,核桃林,1,0,0,0,0,0
2016-10-18,1048,Mobvista,Mobvista,1847820,552,484,471,35,1716
2016-10-18,1111,UC,多盟,660,58,44,44,1,22
2016-10-18,1513,新浪粉丝通,灵动,50,2,2,2,0,0
2016-10-01,1266,搜狐汇算,掌握,15,0,0,0,0,0
2016-10-18,1562,懒人听书,指尖,5,0,0,0,0,0
2016-10-01,1021,百度DSP,景美,2,0,0,0,0,0
2016-10-23,2701,solidclix,爱得玩,3533,6,5,4,0,0
2016-10-15,1111,UC,多盟,636,73,66,69,0,0
2016-10-15,1168,智汇推,厦门微众,1318,18,16,16,0,0
2016-10-15,1513,新浪粉丝通,天拓,1933,213,196,201,5,72
2016-10-05,1266,搜狐汇算,掌握,15,0,0,0,0,0
2016-10-15,2680,优酷,优酷,40,1,0,2,0,0
2016-10-08,1111,UC,观秦,276,13,13,13,0,0
2016-09-29,1111,UC,乐思,364,6,6,6,0,0
2016-10-08,2680,优酷,优酷,41,1,0,0,0,0
2016-10-21,1256,网易有道DSP,紫博蓝,557,4,4,4,1,6
2016-10-02,1013,广点通,亿玛在线,3,1,1,1,0,0
2016-09-30,1256,网易有道DSP,紫博蓝,6,0,0,0,0,0
2016-10-16,1045,今日头条,宽皓,18,0,0,0,0,0
2016-10-16,1491,广州伊讯,广州伊讯,1,0,0,0,0,0
2016-10-16,2135,U9,U9,1,0,0,0,0,0
2016-10-24,1045,今日头条,亿科思奇,682,18,18,18,1,6
2016-10-20,1045,今日头条,米迪,1038,48,35,39,5,30
2016-10-02,1354,wap站麒点,麒点,127,0,0,0,0,0
2016-10-20,2519,爱奇艺,云锐,394,104,96,99,11,646
2016-10-24,1156,百度贴吧,多盟,2,0,0,0,0,0
2016-10-22,1168,智汇推,厦门微众,2740,43,42,43,1,50
2016-10-17,1048,Mobvista,Mobvista,1608038,492,416,409,25,1384
2016-10-17,1168,智汇推,响当当,250,22,21,21,2,194
2016-10-22,1266,搜狐汇算,睿道,5,0,0,0,0,0
2016-10-17,1168,智汇推,灵动,19,2,2,2,1,50
2016-10-31,2677,applift,大树时代,100717,57,54,56,0,0
2016-10-31,1048,Mobvista,Mobvista,3421575,388,321,311,23,1006
2016-10-31,1513,新浪粉丝通,天拓,697,102,98,101,2,38
2016-10-31,2684,STP,STP,8,0,0,0,0,0
2016-09-26,1266,搜狐汇算,掌握,15,0,0,0,0,0
2016-11-02,1513,新浪粉丝通,灵动,228,22,21,23,4,46
2016-11-02,1045,今日头条,宽皓,19,4,4,4,0,0
2016-11-02,1111,UC,多盟,1505,138,75,129,6,304
2016-11-02,1048,Mobvista,Mobvista,3709457,368,316,314,16,1058
2016-10-31,2104,18183,浩趣,2,0,0,0,0,0
2016-11-08,1048,Mobvista,Mobvista,1490606,306,292,308,17,282
2016-11-08,2703,OnewayMobi,爱得玩,110,6,6,6,0,0
2016-11-06,1168,智汇推,灵动,39,10,10,10,1,36
2016-11-06,2709,视线,视线,577,0,0,0,0,0
2016-11-04,2691,wap多顽,旭升,354888,394,353,371,10,466
2016-11-07,1048,Mobvista,Mobvista,1606318,325,313,333,17,464
2016-11-04,1505,紫龙官网,紫龙互娱,2,0,0,0,0,0
2016-11-12,1478,Mediamob,掌握,0,3,3,3,0,0
2016-11-13,1354,wap站麒点,麒点,0,1,1,1,0,0
2016-11-13,1513,新浪粉丝通,天拓,0,194,184,189,8,382
2016-11-13,1513,新浪粉丝通,灵动,0,5,5,6,0,0
2016-11-13,2519,爱奇艺,云锐,0,211,199,208,6,128
2016-11-03,1045,今日头条,亿科思奇,1622,36,36,38,0,0
2016-11-03,1513,新浪粉丝通,天拓,488,64,63,60,2,20
2016-11-03,1513,新浪粉丝通,天擎,70,16,15,15,0,0
2016-11-03,1185,百度品牌专区,景美,264,61,33,47,5,160
2016-11-03,1021,百度DSP,紫博蓝,4,0,0,0,0,0
2016-11-03,1111,UC,乐思,250,17,15,14,2,12
2016-11-11,1111,UC,多盟,0,83,49,69,4,24
2016-11-13,1717,限免大全,信中元,0,1,0,0,0,0
2016-11-17,1028,Vungle,Vungle,931,204,204,206,9,478
2016-11-14,1111,UC,多盟,0,166,108,148,13,802
2016-11-14,1513,新浪粉丝通,天拓,0,171,155,167,9,114
2016-11-15,1045,今日头条,慧推,252,17,17,17,1,6
2016-11-15,1111,UC,乐思,0,38,32,37,6,130
2016-11-21,1481,Helium,大树时代,85676,16,14,17,0,0
2016-11-18,2714,氪金,氪金,0,8,8,9,0,0
2016-11-18,1111,UC,乐思,0,36,36,36,2,12
2016-11-20,1013,广点通,多盟,587,104,104,107,12,886
2016-11-20,1045,今日头条,点我,79,4,4,4,0,0
2016-11-20,2519,爱奇艺,云锐,0,292,269,283,13,976
2016-11-19,1058,网易新闻客户端,共和盛世,0,18,17,18,1,12
2016-11-19,1111,UC,多盟,0,157,95,145,9,136
2016-11-19,1776,Appcoach,appcoach,0,84,55,79,1,6
2016-11-22,1168,智汇推,亿科思奇,0,13,13,13,0,0
2016-11-22,2665,adcolony,欧朋,0,1,1,1,0,0
2016-11-16,1048,Mobvista,Mobvista,3744322,586,561,606,39,7220
2016-11-16,1045,今日头条,轩辕,7,0,0,0,0,0
2016-11-16,1562,懒人听书,指尖,3,0,0,0,0,0
2016-11-27,2519,爱奇艺,云锐,0,90,74,84,4,54
2016-11-26,1045,今日头条,亿科思奇,1642,39,39,41,3,218
2016-11-26,2519,爱奇艺,云锐,0,39,33,36,1,6
2016-11-27,1045,今日头条,亿科思奇,1033,18,18,18,0,0
2016-11-27,2698,慧推,慧推,534,8,8,9,0,0
2016-11-24,1111,UC,多盟,0,154,92,132,8,1306
2016-11-24,2698,慧推,慧推,499,21,21,21,0,0
2016-11-29,2519,爱奇艺,云锐,0,161,145,157,5,218
2016-11-28,1045,今日头条,亿科思奇,936,11,11,12,1,44
2016-11-28,1362,Glispa,大树时代,26617,5,5,5,0,0
2016-11-25,1058,网易新闻客户端,共和盛世,0,12,7,11,2,66
2016-11-25,1168,智汇推,厦门微众,0,1,1,1,0,0
2016-11-23,1045,今日头条,宽皓,0,3,1,2,0,0
2016-11-23,1481,Helium,大树时代,64909,18,18,19,2,84
2016-11-23,2698,慧推,慧推,433,23,23,24,1,6
2016-11-30,1058,网易新闻客户端,共和盛世,0,17,12,14,0,0
2016-11-30,1111,UC,多盟,0,158,72,131,13,512
2016-11-30,1481,Helium,大树时代,83198,16,14,16,1,6
2016-12-01,1513,新浪粉丝通,新启成,0,6,4,4,0,0
2016-12-01,1776,Appcoach,appcoach,0,71,37,52,3,86
2016-12-03,1111,UC,多盟,0,80,39,72,7,148
2016-12-03,1111,UC,乐思,0,7,6,5,1,6
